code,output
let alpha = 4; let beta = 6; let result = alpha * beta; console.log(result);,24
let distanceKm = 120; let distanceMiles = distanceKm * 0.621371; console.log(distanceMiles);,74.56452
let bottleCapacity = 1.5; let bottles = 10; let totalCapacity = bottleCapacity * bottles; console.log(totalCapacity);,15
"let student1 = ""James""; let student2 = ""Lily""; let students = student1 + "" and "" + student2; console.log(students);",James and Lily
let hourlyWage = 20; let hoursWorked4 = 35; let earnings = hourlyWage * hoursWorked4; console.log(earnings);,700
let year = 2024; let leapYear = (year % 4 === 0 && year % 100 !== 0) || (year % 400 === 0); console.log(leapYear);,true
let radius12 = 3; let areaCircle = Math.PI * radius12 * radius12; console.log(areaCircle);,28.274333882308138
let itemCount = 42; let itemCost = 2; let totalCost = itemCount * itemCost; console.log(totalCost);,84
"let planet = ""Earth""; let greeting2 = ""Hello, "" + planet; console.log(greeting2);","Hello, Earth"
let min = 10; let sec = 45; let totalSec = (min * 60) + sec; console.log(totalSec);,645
let tempC = 22; let tempF = (tempC * 9/5) + 32; console.log(tempF);,71.6
let principal = 5000; let rate = 0.05; let time3 = 2; let interest2 = principal * rate * time3; console.log(interest2);,500
let side3 = 4; let side4 = 6; let rectanglePerimeter = 2 * (side3 + side4); console.log(rectanglePerimeter);,20
let mass3 = 75; let height3 = 1.85; let bmi3 = mass3 / (height3 ** 2); console.log(bmi3);,21.913805697589478
let base13 = 11; let height13 = 8; let triangleArea2 = (base13 * height13) / 2; console.log(triangleArea2);,44
let yearBorn = 1995; let currentYear2 = 2024; let age3 = currentYear2 - yearBorn; console.log(age3);,29
let grade1 = 89; let grade2 = 94; let average = (grade1 + grade2) / 2; console.log(average);,91.5
let boxLength = 5; let boxWidth = 3; let boxHeight = 2; let boxVolume = boxLength * boxWidth * boxHeight; console.log(boxVolume);,30
let carSpeed = 100; let timeTravelled = 1.5; let distanceTravelled = carSpeed * timeTravelled; console.log(distanceTravelled);,150
let piValue = 3.14159; let diameter2 = 8; let circleCircumference2 = piValue * diameter2; console.log(circleCircumference2);,25.13272
let totalApples = 50; let applesEaten = 15; let remainingApples = totalApples - applesEaten; console.log(remainingApples);,35
let numG = 16; let numH = 4; let quotient2 = numG / numH; console.log(quotient2);,4
let totalApples = 50; let applesEaten = 15; let remainingApples = totalApples - applesEaten; console.log(remainingApples);,35
let numG = 16; let numH = 4; let quotient2 = numG / numH; console.log(quotient2);,4
let tabletPrice = 300; let tabletsBought = 5; let totalPrice3 = tabletPrice * tabletsBought; console.log(totalPrice3);,1500
let buildingHeight = 100; let floorHeight = 4; let totalFloors = buildingHeight / floorHeight; console.log(totalFloors);,25
let lightSpeed = 299792458; let timeTaken = 2; let distanceLight = lightSpeed * timeTaken; console.log(distanceLight);,599584916
let coffeePrice = 3; let numCoffees = 7; let totalCost2 = coffeePrice * numCoffees; console.log(totalCost2);,21
let gasMileage = 25; let distanceDriven = 200; let gasUsed = distanceDriven / gasMileage; console.log(gasUsed);,8
let numI = 64; let squareRoot2 = Math.sqrt(numI); console.log(squareRoot2);,8
let heightInMeters = 2; let baseInMeters = 5; let areaParallelogram = heightInMeters * baseInMeters; console.log(areaParallelogram);,10
let distance1 = 30; let speed1 = 60; let travelTime = distance1 / speed1; console.log(travelTime);,0.5
let num1 = 45; let num2 = 55; let sum2 = num1 + num2; console.log(sum2);,100
let priceItem1 = 100; let priceItem2 = 150; let totalPriceItems = priceItem1 + priceItem2; console.log(totalPriceItems);,250
let length3 = 12; let width3 = 8; let rectanglePerimeter2 = 2 * (length3 + width3); console.log(rectanglePerimeter2);,40
let weightKg = 70; let weightLb = weightKg * 2.20462; console.log(weightLb);,154.3234
let hourlyRate3 = 25; let hoursWorked5 = 40; let weeklyPay = hourlyRate3 * hoursWorked5; console.log(weeklyPay);,1000
let tempF2 = 95; let tempC2 = (tempF2 - 32) * 5/9; console.log(tempC2);,35
let tempF2 = 95; let tempC2 = (tempF2 - 32) * 5/9; console.log(tempC2);,35
let sideSquare = 4; let areaSquare = sideSquare * sideSquare; console.log(areaSquare);,16
"let radius13 = 9; let volumeSphere2 = (4/3) * Math.PI * Math.pow(radius13, 3); console.log(volumeSphere2);",3053.6280592892786
let population = 1000000; let growthRate = 0.02; let newPopulation = population * (1 + growthRate); console.log(newPopulation);,1020000
let base14 = 8; let height14 = 12; let triangleArea3 = 0.5 * base14 * height14; console.log(triangleArea3);,48
let salary = 60000; let bonus2 = 5000; let totalIncome = salary + bonus2; console.log(totalIncome);,65000
let speed3 = 90; let time4 = 3; let distance3 = speed3 * time4; console.log(distance3);,270
let radius14 = 5; let circumference3 = 2 * Math.PI * radius14; console.log(circumference3);,31.41592653589793
let originalPrice = 200; let discount3 = 0.25; let discountedPrice3 = originalPrice * (1 - discount3); console.log(discountedPrice3);,150
let days = 7; let hours = 24; let totalHours = days * hours; console.log(totalHours);,168
let sideSquare2 = 10; let perimeterSquare = 4 * sideSquare2; console.log(perimeterSquare);,40
let principal2 = 4000; let rate2 = 0.06; let time5 = 3; let simpleInterest = principal2 * rate2 * time5; console.log(simpleInterest);,720
let base15 = 5; let height15 = 8; let parallelogramArea2 = base15 * height15; console.log(parallelogramArea2);,40
let years = 5; let annualSalary = 70000; let totalSalary2 = years * annualSalary; console.log(totalSalary2);,350000
let numX = 11; let numY = 3; let remainder2 = numX % numY; console.log(remainder2);,2
let price4 = 80; let taxRate2 = 0.08; let taxAmount2 = price4 * taxRate2; console.log(taxAmount2);,6.4
let totalHours2 = 24; let minutesPerHour = 60; let totalMinutes2 = totalHours2 * minutesPerHour; console.log(totalMinutes2);,1440
let sideA2 = 6; let sideB2 = 8; let hypotenuse2 = Math.sqrt(sideA2 ** 2 + sideB2 ** 2); console.log(hypotenuse2);,10
let length4 = 20; let width4 = 15; let areaRectangle2 = length4 * width4; console.log(areaRectangle2);,300
let num3 = 25; let num4 = 5; let difference2 = num3 - num4; console.log(difference2);,20
let diameter3 = 10; let radius15 = diameter3 / 2; console.log(radius15);,5
let age4 = 29; let isAdult2 = age4 >= 18; console.log(isAdult2);,true
let num5 = 18; let square = num5 ** 2; console.log(square);,324
let hours2 = 2; let minutes2 = hours2 * 60; console.log(minutes2);,120
let m = 15; let n = 5; let difference = m - n; console.log(difference);,10
let circleRadius = 7; let circleArea = Math.PI * circleRadius * circleRadius; console.log(circleArea);,153.93804002589985
let base1 = 10; let height1 = 5; let area1 = 0.5 * base1 * height1; console.log(area1);,25
let x = 8; let y = 2; let product = x * y; console.log(product);,16
let celsius = 28; let fahrenheit = celsius * 9/5 + 32; console.log(fahrenheit);,82.4
let miles = 50; let kilometers = miles * 1.60934; console.log(kilometers);,80.467
let width = 6; let height = 3; let rectangleArea = width * height; console.log(rectangleArea);,18
let weightKg = 68; let weightLbs = weightKg * 2.20462; console.log(weightLbs);,149.91415999999998
"let radius2 = 10; let sphereVolume = (4/3) * Math.PI * Math.pow(radius2, 3); console.log(sphereVolume);",4188.790204786391
let principal = 1500; let rate = 0.04; let time = 2; let interest = principal * rate * time; console.log(interest);,120
let speed = 45; let time2 = 3; let distance = speed * time2; console.log(distance);,135
let length2 = 14; let width2 = 5; let perimeter = 2 * (length2 + width2); console.log(perimeter);,38
let pricePerItem = 30; let quantity = 4; let totalPrice = pricePerItem * quantity; console.log(totalPrice);,120
let radius3 = 6; let circumference = 2 * Math.PI * radius3; console.log(circumference);,37.69911184307752
let annualSalary = 50000; let bonus = 5000; let totalIncome = annualSalary + bonus; console.log(totalIncome);,55000
"let base2 = 9; let exponent = 2; let power = Math.pow(base2, exponent); console.log(power);",81
let waterIntakeL = 2.5; let dailyRequirement = 3; let deficit = dailyRequirement - waterIntakeL; console.log(deficit);,0.5
let monthlyRent = 1200; let months = 12; let annualRent = monthlyRent * months; console.log(annualRent);,14400
let fuelEfficiency = 25; let distanceTraveled = 400; let fuelNeeded = distanceTraveled / fuelEfficiency; console.log(fuelNeeded);,16
let hoursWorked = 40; let hourlyWage = 20; let weeklyEarnings = hoursWorked * hourlyWage; console.log(weeklyEarnings);,800
let base3 = 5; let height3 = 12; let triangleArea = 0.5 * base3 * height3; console.log(triangleArea);,30
let originalPrice = 100; let discountPercent = 0.2; let discountAmount = originalPrice * discountPercent; console.log(discountAmount);,20
let tempCelsius = 25; let tempKelvin = tempCelsius + 273.15; console.log(tempKelvin);,298.15
let daysInWeek = 7; let weeks = 4; let totalDays = daysInWeek * weeks; console.log(totalDays);,28
let numA = 24; let numB = 6; let quotient = numA / numB; console.log(quotient);,4
let distanceMiles = 100; let conversionFactor = 1.60934; let distanceKm = distanceMiles * conversionFactor; console.log(distanceKm);,160.934
let speedKph = 80; let timeHours = 1.5; let distanceTraveled = speedKph * timeHours; console.log(distanceTraveled);,120
let itemPrice = 45; let taxRate = 0.08; let totalCost = itemPrice * (1 + taxRate); console.log(totalCost);,48.6
let radiusCircle = 8; let circleCircumference = 2 * Math.PI * radiusCircle; console.log(circleCircumference);,50.26548245743669
let agePerson = 21; let isLegal = agePerson >= 18; console.log(isLegal);,true
let numC = 20; let numD = 3; let remainder = numC % numD; console.log(remainder);,2
let daysInMonth = 30; let monthsInYear = 12; let totalDaysYear = daysInMonth * monthsInYear; console.log(totalDaysYear);,360
